UPC,L1,L2,L3,Brand,Manufacturer
2550006763,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE"
2550006874,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE"
2550020170,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,FOLGERS,"J. M. SMUCKER COMPANY, THE"
2550020188,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,FOLGERS,"J. M. SMUCKER COMPANY, THE"
2550020421,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
2550020527,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
2550020529,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
2550020532,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
2550020534,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
2550020536,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
2550020538,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
2550020540,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
2550020544,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
2800046631,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,NESCAFE,NESTLE HOLDINGS INC
2800046942,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,NESCAFE,NESTLE HOLDINGS INC
2800054231,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,NESCAFE,NESTLE HOLDINGS INC
2800084909,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,Unassigned,Unassigned
3680034313,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,CLEAR VALUE,TOPCO ASSOCIATES LLC.
3680037972,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,CLEAR VALUE,TOPCO ASSOCIATES LLC.
3680037973,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,CLEAR VALUE,TOPCO ASSOCIATES LLC.
4300002922,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,MAXWELL HOUSE,"KRAFT FOODS, INC."
4300002945,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,MAXWELL HOUSE,"KRAFT FOODS, INC."
4300002946,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,MAXWELL HOUSE,"KRAFT FOODS, INC."
4300002948,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,MAXWELL HOUSE,"KRAFT FOODS, INC."
4300002949,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,MAXWELL HOUSE,"KRAFT FOODS, INC."
4300002951,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,MAXWELL HOUSE,"KRAFT FOODS, INC."
4300003283,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,MAXWELL HOUSE,"KRAFT FOODS, INC."
4300004648,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,MAXWELL HOUSE,"KRAFT FOODS, INC."
4300004658,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,MAXWELL HOUSE,"KRAFT FOODS, INC."
4300004661,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,MAXWELL HOUSE,"KRAFT FOODS, INC."
4300005133,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,MAXWELL HOUSE,"KRAFT FOODS, INC."
4300070214,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,MAXWELL HOUSE,"KRAFT FOODS, INC."
4300070590,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,MAXWELL HOUSE,"KRAFT FOODS, INC."
4300070865,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,MAXWELL HOUSE,"KRAFT FOODS, INC."
4300079460,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,MAXWELL HOUSE,"KRAFT FOODS, INC."
4790010723,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,LUZIANNE,"WM. B. REILY & COMPANY, INC"
4790011119,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,C D M,"WM. B. REILY & COMPANY, INC"
5000046298,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
7103800044,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,CHOCK FULL O NUTS,SEGAFREDO ZANETTI GROUP
7103800141,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,CHOCK FULL O NUTS,SEGAFREDO ZANETTI GROUP
7103800148,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,CHOCK FULL O NUTS,SEGAFREDO ZANETTI GROUP
7232300333,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
7232300334,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
7447100055,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
7447100210,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,BUSTELO,"J. M. SMUCKER COMPANY, THE"
60788002227,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,SOUTHERN HOME,LONE STAR FUNDS
60788002218,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,SOUTHERN HOME,LONE STAR FUNDS
60788002793,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,SOUTHERN HOME,LONE STAR FUNDS
60788002226,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,SOUTHERN HOME,LONE STAR FUNDS
60788002217,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,SOUTHERN HOME,LONE STAR FUNDS
60788002215,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,SOUTHERN HOME,LONE STAR FUNDS
60788002231,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,SOUTHERN HOME,LONE STAR FUNDS
60788002221,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,SOUTHERN HOME,LONE STAR FUNDS
60788002222,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,SOUTHERN HOME,LONE STAR FUNDS
60788002229,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,SOUTHERN HOME,LONE STAR FUNDS
60788002228,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,SOUTHERN HOME,LONE STAR FUNDS
60788002795,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,SOUTHERN HOME,LONE STAR FUNDS
60788002220,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,SOUTHERN HOME,LONE STAR FUNDS
60788002323,GROCERY (Corp 6),COFFEE,WHOLE BEAN,SOUTHERN HOME,LONE STAR FUNDS
60788002219,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,SOUTHERN HOME,LONE STAR FUNDS
66576850017,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
66576850019,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
66576850013,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
66576850009,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
66576850015,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
66576850010,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
7056820010,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,UNION,"WM. B. REILY & COMPANY, INC"
7056810040,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FRENCH MARKET,"WM. B. REILY & COMPANY, INC"
7056850055,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FRENCH MARKET,"WM. B. REILY & COMPANY, INC"
4300006065,GROCERY (Corp 6),COFFEE,COFFEE-LIQUID-SS,MC CAFE,"KRAFT FOODS, INC."
4300005534,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,MC CAFE,"KRAFT FOODS, INC."
4300006346,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,MC CAFE,"KRAFT FOODS, INC."
4300005533,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,MC CAFE,"KRAFT FOODS, INC."
4300005535,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,MC CAFE,"KRAFT FOODS, INC."
4300006086,GROCERY (Corp 6),COFFEE,COFFEE-LIQUID-SS,MC CAFE,"KRAFT FOODS, INC."
4300006064,GROCERY (Corp 6),COFFEE,COFFEE-LIQUID-SS,MC CAFE,"KRAFT FOODS, INC."
9955508050,GROCERY (Corp 6),COFFEE,COFFEE-LIQUID-SS,NEWMAN'S OWN ORGANICS,NEWMAN'S OWN INC
9955508520,GROCERY (Corp 6),COFFEE,COFFEE-LIQUID-SS,GREEN MOUNTAIN COFFEE KEURIG & SNPL KRG,KEURIG GREEN MOUNTAIN INC
5543762270,GENERAL MDSE (Corp 6),COFFEE FILTERS/ACCESSORIES,COFFEE FILTERS,MELITTA,MELITTA UNTERNEHMENSGRUPPE BENTZ KG
5543761241,GENERAL MDSE (Corp 6),COFFEE FILTERS/ACCESSORIES,COFFEE FILTERS,MELITTA,MELITTA UNTERNEHMENSGRUPPE BENTZ KG
5543762440,GENERAL MDSE (Corp 6),COFFEE FILTERS/ACCESSORIES,COFFEE FILTERS,MELITTA,MELITTA UNTERNEHMENSGRUPPE BENTZ KG
5543762441,GENERAL MDSE (Corp 6),COFFEE FILTERS/ACCESSORIES,COFFEE FILTERS,MELITTA,MELITTA UNTERNEHMENSGRUPPE BENTZ KG
5543762410,GENERAL MDSE (Corp 6),COFFEE FILTERS/ACCESSORIES,COFFEE FILTERS,MELITTA,MELITTA UNTERNEHMENSGRUPPE BENTZ KG
5543762912,GENERAL MDSE (Corp 6),COFFEE FILTERS/ACCESSORIES,COFFEE FILTERS,MELITTA,MELITTA UNTERNEHMENSGRUPPE BENTZ KG
60788010090,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
3825910461,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
4300070992,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,MAXWELL HOUSE,"KRAFT FOODS, INC."
2550072909,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE"
7762300066,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
4300007153,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
4300007151,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
2550000366,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE"
4300007056,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
3825910459,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
3825910464,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
60788010088,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned
